Seed,True_Var_Def,False_Var_Def,VAF_Upper_Limit,Feature_Category,Num_True_Var_Testing,Num_False_Var_Testing,TP,FP,TN,FN,AUC,MCC,F1_score,Accuracy,MSE
4501,"[1, 0.67]",[0.33],0.5,Strict,313,1066,197,275,791,116,0.6857096188312582,0.328,0.502,0.716,0.284
4501,[1],[0.33],0.5,Exhaustive,143,1072,112,238,834,31,0.7806009289218245,0.399,0.454,0.779,0.221
4501,[1],"[0.33, 0.67]",0.5,Exhaustive,142,1237,105,243,994,37,0.7714968062213216,0.38,0.429,0.797,0.203
4501,"[1, 0.67]",[0.33],0.5,Exhaustive,313,1066,197,276,790,116,0.6852405756792884,0.327,0.501,0.716,0.284
9879,[1],[0.33],0.6,Moderate,146,1072,109,197,875,37,0.7814033428746678,0.421,0.482,0.808,0.192
9879,[1],"[0.33, 0.67]",0.6,Moderate,150,1233,113,246,987,37,0.7769099756690998,0.393,0.444,0.795,0.205
9879,"[1, 0.67]",[0.33],0.6,Moderate,304,1079,216,299,780,88,0.7167089410272669,0.371,0.527,0.72,0.28
9879,[1],[0.33],0.6,Strict,146,1072,109,205,867,37,0.7776719995910857,0.412,0.474,0.801,0.199
9879,[1],"[0.33, 0.67]",0.6,Strict,150,1233,115,274,959,35,0.7722222222222221,0.377,0.427,0.777,0.223
9879,"[1, 0.67]",[0.33],0.6,Strict,304,1079,216,302,777,88,0.7153187649382957,0.368,0.526,0.718,0.282
9879,[1],[0.33],0.6,Exhaustive,146,1072,110,197,875,36,0.7848280004089143,0.426,0.486,0.809,0.191
9879,[1],"[0.33, 0.67]",0.6,Exhaustive,150,1233,113,257,976,37,0.7724493106244932,0.383,0.435,0.787,0.213
9879,"[1, 0.67]",[0.33],0.6,Exhaustive,304,1079,207,293,786,97,0.7046866616262621,0.353,0.515,0.718,0.282
9879,[1],[0.33],0.5,Moderate,140,1075,110,232,843,30,0.7849501661129568,0.405,0.456,0.784,0.216
9879,[1],"[0.33, 0.67]",0.5,Moderate,144,1235,122,272,963,22,0.8134896536212326,0.424,0.454,0.787,0.213
9879,"[1, 0.67]",[0.33],0.5,Moderate,319,1060,213,287,773,106,0.6984784408824747,0.348,0.52,0.715,0.285
9879,[1],[0.33],0.5,Strict,140,1075,113,236,839,27,0.7938039867109634,0.415,0.462,0.784,0.216
9879,[1],"[0.33, 0.67]",0.5,Strict,144,1235,123,271,964,21,0.8173667341430497,0.43,0.457,0.788,0.212
9879,"[1, 0.67]",[0.33],0.5,Strict,319,1060,213,304,756,106,0.6904595729579465,0.332,0.51,0.703,0.297
9879,[1],[0.33],0.5,Exhaustive,140,1075,112,239,836,28,0.7888372093023255,0.407,0.456,0.78,0.22
9879,[1],"[0.33, 0.67]",0.5,Exhaustive,144,1235,121,269,966,23,0.8112320062977958,0.423,0.453,0.788,0.212
9879,"[1, 0.67]",[0.33],0.5,Exhaustive,319,1060,221,288,772,98,0.7105459277222452,0.368,0.534,0.72,0.28
878,[1],[0.33],0.6,Moderate,144,1074,117,205,869,27,0.810812383612663,0.455,0.502,0.81,0.19
878,[1],"[0.33, 0.67]",0.6,Moderate,138,1245,98,256,989,40,0.7522612187881963,0.346,0.398,0.786,0.214
878,"[1, 0.67]",[0.33],0.6,Moderate,316,1067,196,304,763,120,0.6676710996168128,0.293,0.48,0.693,0.307
878,[1],[0.33],0.6,Strict,144,1074,111,218,856,33,0.7839269087523278,0.413,0.469,0.794,0.206
878,[1],"[0.33, 0.67]",0.6,Strict,138,1245,99,255,990,39,0.7562860136196962,0.352,0.402,0.787,0.213
878,"[1, 0.67]",[0.33],0.6,Strict,316,1067,204,315,752,112,0.6751746882896563,0.304,0.489,0.691,0.309
878,[1],[0.33],0.6,Exhaustive,144,1074,118,217,857,26,0.8086980136561143,0.446,0.493,0.8,0.2
