Seed,True_Var_Def,False_Var_Def,VAF_Lower_Limit,VAF_Upper_Limit,Feature_Category,Num_True_Var_Testing,Num_False_Var_Testing,TP,FP,TN,FN,AUC,MCC,F1_score,Accuracy,MSE
20,[1],[0.33],0.02,0.6,Moderate,130,1053,102,252,801,28,0.7726495726495726,0.372,0.421,0.763,0.237
20,[1],"[0.33, 0.67]",0.02,0.6,Moderate,112,1231,84,311,920,28,0.7486799350121852,0.302,0.331,0.748,0.252
20,"[1, 0.67]",[0.33],0.02,0.6,Moderate,262,1081,170,339,742,92,0.6676282209715347,0.274,0.441,0.679,0.321
20,[1],[0.33],0.02,0.6,Strict,130,1053,102,252,801,28,0.7726495726495726,0.372,0.421,0.763,0.237
20,[1],"[0.33, 0.67]",0.02,0.6,Strict,112,1231,84,300,931,28,0.7531478472786354,0.31,0.339,0.756,0.244
20,"[1, 0.67]",[0.33],0.02,0.6,Strict,262,1081,165,329,752,97,0.6627115831397279,0.267,0.437,0.683,0.317
20,[1],[0.33],0.02,0.6,Exhaustive,130,1053,101,250,803,29,0.769753086419753,0.369,0.42,0.764,0.236
20,[1],"[0.33, 0.67]",0.02,0.6,Exhaustive,112,1231,82,293,938,30,0.7470624927468957,0.305,0.337,0.759,0.241
20,"[1, 0.67]",[0.33],0.02,0.6,Exhaustive,262,1081,170,338,743,92,0.6680907556616364,0.275,0.442,0.68,0.32
20,[1],[0.33],0.02,0.5,Moderate,108,1071,80,262,809,28,0.7480547774665421,0.315,0.356,0.754,0.246
20,[1],"[0.33, 0.67]",0.02,0.5,Moderate,117,1221,90,304,917,27,0.7601272601272601,0.322,0.352,0.753,0.247
20,"[1, 0.67]",[0.33],0.02,0.5,Moderate,273,1065,176,324,741,97,0.6702316462879843,0.284,0.455,0.685,0.315
20,[1],[0.33],0.02,0.5,Strict,108,1071,82,266,805,26,0.755446623093682,0.323,0.36,0.752,0.248
20,[1],"[0.33, 0.67]",0.02,0.5,Strict,117,1221,90,309,912,27,0.758079758079758,0.319,0.349,0.749,0.251
20,"[1, 0.67]",[0.33],0.02,0.5,Strict,273,1065,186,334,731,87,0.6838518289222515,0.304,0.469,0.685,0.315
20,[1],[0.33],0.02,0.5,Exhaustive,108,1071,80,258,813,28,0.7499221910986617,0.319,0.359,0.757,0.243
20,[1],"[0.33, 0.67]",0.02,0.5,Exhaustive,117,1221,86,294,927,31,0.7471282471282471,0.31,0.346,0.757,0.243
20,"[1, 0.67]",[0.33],0.02,0.5,Exhaustive,273,1065,176,329,736,97,0.6678842284476088,0.279,0.452,0.682,0.318
20,[1],[0.33],0.05,0.6,Moderate,85,308,65,82,226,20,0.7492360580595876,0.424,0.56,0.74,0.26
20,[1],"[0.33, 0.67]",0.05,0.6,Moderate,78,379,54,101,278,24,0.7129084635680941,0.338,0.464,0.726,0.274
20,"[1, 0.67]",[0.33],0.05,0.6,Moderate,142,315,90,115,200,52,0.6343617259110217,0.25,0.519,0.635,0.365
20,[1],[0.33],0.05,0.6,Strict,85,308,59,87,221,26,0.7058250572956455,0.351,0.511,0.712,0.288
20,[1],"[0.33, 0.67]",0.05,0.6,Strict,78,379,54,110,269,24,0.7010351126446114,0.315,0.446,0.707,0.293
20,"[1, 0.67]",[0.33],0.05,0.6,Strict,142,315,98,119,196,44,0.6561815336463224,0.289,0.546,0.643,0.357
20,[1],[0.33],0.05,0.6,Exhaustive,85,308,64,92,216,21,0.7271199388846448,0.382,0.531,0.712,0.288
20,[1],"[0.33, 0.67]",0.05,0.6,Exhaustive,78,379,51,111,268,27,0.6804850822001217,0.284,0.425,0.698,0.302
20,"[1, 0.67]",[0.33],0.05,0.6,Exhaustive,142,315,96,109,206,46,0.6650122959982114,0.307,0.553,0.661,0.339
20,[1],[0.33],0.05,0.5,Moderate,79,311,57,95,216,22,0.7080263746998249,0.343,0.494,0.7,0.3
20,[1],"[0.33, 0.67]",0.05,0.5,Moderate,86,367,60,115,252,26,0.6921614599835244,0.31,0.46,0.689,0.311
20,"[1, 0.67]",[0.33],0.05,0.5,Moderate,139,314,91,110,204,48,0.6521788938276132,0.283,0.535,0.651,0.349
20,[1],[0.33],0.05,0.5,Strict,79,311,62,100,211,17,0.7316333591110749,0.378,0.515,0.7,0.3
20,[1],"[0.33, 0.67]",0.05,0.5,Strict,86,367,58,123,244,28,0.6696343704454725,0.272,0.434,0.667,0.333
20,"[1, 0.67]",[0.33],0.05,0.5,Strict,139,314,90,121,193,49,0.6310658479585758,0.242,0.514,0.625,0.375
20,[1],[0.33],0.05,0.5,Exhaustive,79,311,58,96,215,21,0.7127477715820749,0.35,0.498,0.7,0.3
20,[1],"[0.33, 0.67]",0.05,0.5,Exhaustive,86,367,59,118,249,27,0.682260313034662,0.293,0.449,0.68,0.32
20,"[1, 0.67]",[0.33],0.05,0.5,Exhaustive,139,314,95,108,206,44,0.6697520964120425,0.315,0.556,0.664,0.336
20,[1],[0.33],0.1,0.6,Moderate,36,77,29,29,48,7,0.7144660894660895,0.4,0.617,0.681,0.319
20,[1],"[0.33, 0.67]",0.1,0.6,Moderate,44,89,33,37,52,11,0.6671348314606742,0.315,0.579,0.639,0.361
20,"[1, 0.67]",[0.33],0.1,0.6,Moderate,68,65,42,23,42,26,0.6319004524886878,0.264,0.632,0.632,0.368
20,[1],[0.33],0.1,0.6,Strict,36,77,27,27,50,9,0.6996753246753247,0.373,0.6,0.681,0.319
20,[1],"[0.33, 0.67]",0.1,0.6,Strict,44,89,31,29,60,13,0.6893513789581205,0.358,0.596,0.684,0.316
20,"[1, 0.67]",[0.33],0.1,0.6,Strict,68,65,36,23,42,32,0.5877828054298642,0.177,0.567,0.586,0.414
20,[1],[0.33],0.1,0.6,Exhaustive,36,77,27,31,46,9,0.6737012987012987,0.324,0.574,0.646,0.354
20,[1],"[0.33, 0.67]",0.1,0.6,Exhaustive,44,89,31,35,54,13,0.6556435137895812,0.293,0.564,0.639,0.361
20,"[1, 0.67]",[0.33],0.1,0.6,Exhaustive,68,65,41,28,37,27,0.5860859728506788,0.172,0.599,0.586,0.414
20,[1],[0.33],0.1,0.5,Moderate,30,80,19,29,51,11,0.6354166666666666,0.243,0.487,0.636,0.364
20,[1],"[0.33, 0.67]",0.1,0.5,Moderate,30,99,21,32,67,9,0.6883838383838383,0.324,0.506,0.682,0.318
20,"[1, 0.67]",[0.33],0.1,0.5,Moderate,55,74,29,29,45,26,0.5676904176904177,0.135,0.513,0.574,0.426
20,[1],[0.33],0.1,0.5,Strict,30,80,15,24,56,15,0.5999999999999999,0.186,0.435,0.645,0.355
20,[1],"[0.33, 0.67]",0.1,0.5,Strict,30,99,16,32,67,14,0.605050505050505,0.184,0.41,0.643,0.357
20,"[1, 0.67]",[0.33],0.1,0.5,Strict,55,74,29,26,48,26,0.587960687960688,0.176,0.527,0.597,0.403
20,[1],[0.33],0.1,0.5,Exhaustive,30,80,17,25,55,13,0.6270833333333333,0.233,0.472,0.655,0.345
20,[1],"[0.33, 0.67]",0.1,0.5,Exhaustive,30,99,21,31,68,9,0.6934343434343434,0.333,0.512,0.69,0.31
20,"[1, 0.67]",[0.33],0.1,0.5,Exhaustive,55,74,31,31,43,24,0.5723587223587223,0.143,0.53,0.574,0.426
3247,[1],[0.33],0.01,0.6,Moderate,139,1073,108,242,831,31,0.7757212682789463,0.388,0.442,0.775,0.225
3247,[1],"[0.33, 0.67]",0.01,0.6,Moderate,131,1244,95,265,979,36,0.7560841658280356,0.342,0.387,0.781,0.219
3247,"[1, 0.67]",[0.33],0.01,0.6,Moderate,304,1071,196,301,770,108,0.6818455452356382,0.314,0.489,0.703,0.297
3247,[1],[0.33],0.01,0.6,Strict,139,1073,108,238,835,31,0.777585201177362,0.392,0.445,0.778,0.222
3247,[1],"[0.33, 0.67]",0.01,0.6,Strict,131,1244,95,263,981,36,0.756888024348936,0.344,0.389,0.783,0.217
3247,"[1, 0.67]",[0.33],0.01,0.6,Strict,304,1071,194,311,760,110,0.6738875374711287,0.299,0.48,0.694,0.306
3247,[1],[0.33],0.01,0.6,Exhaustive,139,1073,110,239,834,29,0.7843134625570746,0.4,0.451,0.779,0.221
3247,[1],"[0.33, 0.67]",0.01,0.6,Exhaustive,131,1244,92,261,983,39,0.7462415011904469,0.331,0.38,0.782,0.218
3247,"[1, 0.67]",[0.33],0.01,0.6,Exhaustive,304,1071,188,295,776,116,0.6714887709469752,0.298,0.478,0.701,0.299
3247,[1],[0.33],0.01,0.5,Moderate,132,1077,105,221,856,27,0.7951274584282941,0.415,0.459,0.795,0.205
3247,[1],"[0.33, 0.67]",0.01,0.5,Moderate,142,1229,109,245,984,33,0.7841282847614572,0.396,0.44,0.797,0.203
3247,"[1, 0.67]",[0.33],0.01,0.5,Moderate,308,1063,195,285,778,113,0.6825038789996456,0.319,0.495,0.71,0.29
3247,[1],[0.33],0.01,0.5,Strict,132,1077,104,225,852,28,0.7894825694268592,0.406,0.451,0.791,0.209
3247,[1],"[0.33, 0.67]",0.01,0.5,Strict,142,1229,111,272,957,31,0.7801859980059364,0.381,0.423,0.779,0.221
3247,"[1, 0.67]",[0.33],0.01,0.5,Strict,308,1063,200,287,776,108,0.6896800283441864,0.331,0.503,0.712,0.288
3247,[1],[0.33],0.01,0.5,Exhaustive,132,1077,106,231,846,26,0.7942728116822825,0.409,0.452,0.787,0.213
3247,[1],"[0.33, 0.67]",0.01,0.5,Exhaustive,142,1229,109,256,973,33,0.779653101685786,0.386,0.43,0.789,0.211
3247,"[1, 0.67]",[0.33],0.01,0.5,Exhaustive,308,1063,191,291,772,117,0.6731881711891119,0.303,0.484,0.702,0.298
3247,[1],[0.33],0.02,0.6,Moderate,107,1076,88,260,816,19,0.7903971094048571,0.366,0.387,0.764,0.236
3247,[1],"[0.33, 0.67]",0.02,0.6,Moderate,122,1221,92,302,919,30,0.7533800566587452,0.32,0.357,0.753,0.247
3247,"[1, 0.67]",[0.33],0.02,0.6,Moderate,278,1065,186,320,745,92,0.6842976323166818,0.308,0.474,0.693,0.307
3247,[1],[0.33],0.02,0.6,Strict,107,1076,88,263,813,19,0.7890030573602473,0.363,0.384,0.762,0.238
3247,[1],"[0.33, 0.67]",0.02,0.6,Strict,122,1221,94,311,910,28,0.757891274284717,0.323,0.357,0.748,0.252
3247,"[1, 0.67]",[0.33],0.02,0.6,Strict,278,1065,194,335,730,84,0.6916438680041882,0.318,0.481,0.688,0.312
3247,[1],[0.33],0.02,0.6,Exhaustive,107,1076,86,252,824,21,0.7847687871312927,0.362,0.387,0.769,0.231
3247,[1],"[0.33, 0.67]",0.02,0.6,Exhaustive,122,1221,94,300,921,28,0.7623957787892213,0.331,0.364,0.756,0.244
3247,"[1, 0.67]",[0.33],0.02,0.6,Exhaustive,278,1065,191,324,741,87,0.691412503799777,0.319,0.482,0.694,0.306
3247,[1],[0.33],0.02,0.5,Moderate,119,1060,93,259,801,26,0.7685864912002536,0.354,0.395,0.758,0.242
3247,[1],"[0.33, 0.67]",0.02,0.5,Moderate,134,1204,101,300,904,33,0.7522809540338177,0.331,0.378,0.751,0.249
3247,"[1, 0.67]",[0.33],0.02,0.5,Moderate,294,1044,185,309,735,109,0.6666373445930096,0.286,0.47,0.688,0.312
3247,[1],[0.33],0.02,0.5,Strict,119,1060,94,259,801,25,0.7727881718725225,0.359,0.398,0.759,0.241
3247,[1],"[0.33, 0.67]",0.02,0.5,Strict,134,1204,103,306,898,31,0.7572519462488223,0.335,0.379,0.748,0.252
3247,"[1, 0.67]",[0.33],0.02,0.5,Strict,294,1044,193,306,738,101,0.6816795683790757,0.311,0.487,0.696,0.304
3247,[1],[0.33],0.02,0.5,Exhaustive,119,1060,92,255,805,27,0.766271602980815,0.352,0.395,0.761,0.239
3247,[1],"[0.33, 0.67]",0.02,0.5,Exhaustive,134,1204,101,308,896,33,0.748958694897605,0.324,0.372,0.745,0.255
3247,"[1, 0.67]",[0.33],0.02,0.5,Exhaustive,294,1044,188,318,726,106,0.66742904058175,0.286,0.47,0.683,0.317
3247,[1],[0.33],0.05,0.6,Moderate,79,314,54,83,231,25,0.7096065468031927,0.353,0.5,0.725,0.275
3247,[1],"[0.33, 0.67]",0.05,0.6,Moderate,85,372,64,116,256,21,0.7205566097406706,0.351,0.483,0.7,0.3
3247,"[1, 0.67]",[0.33],0.05,0.6,Moderate,156,301,107,117,184,49,0.6485965584802794,0.282,0.563,0.637,0.363
3247,[1],[0.33],0.05,0.6,Strict,79,314,58,90,224,21,0.7237765056841087,0.37,0.511,0.718,0.282
3247,[1],"[0.33, 0.67]",0.05,0.6,Strict,85,372,69,129,243,16,0.7324952561669829,0.365,0.488,0.683,0.317
